Name,Symbol,YTD,3MO,1YR,3YR,5YR,10YR,Yield,rating,Expense ratio,tenure,assets,category
M.S.D.&T. International Equity Instl,MEQUX,11.98,15.94,11.98,8.7,7.73,,1.59,***,1.03,5,"82,577,857",International
Munder Framlington International Gr Y,MFGYX,15.64,19.25,15.64,,,,0.02,,1.37,1,"48,939,653",International
Morgan Grenfell Intl Small Cap Equity,MGISX,15.49,12.34,15.49,0.26,0.05,,0,**,1.25,4,"26,096,906",International
Managers International Equity,MGITX,14.54,13.86,14.54,12.69,11.16,11.63,0.71,****,1.45,,"552,786,805",International
MassMutual Instl Intl Equity S,MIEDX,5.05,13.53,5.05,12.96,,,1.3,****,1,4,"568,869,229",International
MFS Instl International Equity,MIEIX,9.28,14.83,9.28,,,,1.66,,0.94,2,"11,394,638",International
Montgomery International Growth P,MIGPX,28.65,23.14,28.65,,,,0,,1.9,2,"936,003",International
MSDW Instl Intl Magnum B,MIMBX,7.13,10.22,7.13,,,,0.7,,1.25,2,"26,163,899",International
UAM MJI International Equity Inst,MJIEX,15.53,18.52,15.53,9.7,,,0.54,***,1.5,1,"20,881,428",International
UAM McKee International Equity Instl,MKIEX,8.94,15.29,8.94,10.25,,,0.86,***,0.98,4,"141,808,542",International
Merrill Lynch Consults International,MLCIX,2.91,13.2,2.91,3.91,4.7,,1.61,***,2.37,3,"59,442,263",International
Montgomery International Growth R,MNIGX,28.69,23.03,28.69,19.69,,,0,*****,1.65,3,"200,261,524",International
Montgomery International Small Cap R,MNISX,10.58,10.84,10.58,8.05,4.09,,0.08,***,1.9,5,"47,508,474",International
MAS International Equity Instl,MPIEX,10.08,14.92,10.08,11.14,5.56,8.84,1.71,***,0.63,6,"508,991,165",International
Marshall International Stock,MRISX,3.26,16.3,3.26,11.06,,,1.96,***,1.59,2,"235,368,658",International
MSDW Instl Active Intl Alloc A,MSACX,20.22,14.44,20.22,12.73,9.52,,2.84,****,0.8,6,"266,929,098",International
Masters' Select International,MSILX,11.74,20.79,11.74,,,,0.81,,1.77,,"92,500,000",International
MSDW Instl Intl Magnum A,MSIMX,7.33,10.31,7.33,,,,0.9,,1,2,"269,992,067",International
MSDW Instl Intl Equity A,MSIQX,18.3,14.95,18.3,17.28,15.14,,1.89,*****,1,9,"3,395,554,311",International
Munder International Equity K,MUIKX,13.16,18.67,13.16,8.69,5.95,,1.26,***,1.25,3,"98,435,462",International
Munder International Equity Y,MUIYX,13.37,18.63,13.37,8.97,6.22,,1.5,***,1,3,"94,350,724",International
Nicholas-Applegate Intl Core Gr I,NACIX,21.54,13.9,21.54,,,,0,,1.4,2,"88,153,551",International
Nicholas-Applegate Intl Sm Cap Gr I,NAGPX,36.34,18.7,36.34,22.53,16.19,,0,*****,1.4,5,"72,108,873",International
Nicholas-Applegate Intl Sm Cap Gr Q,NAGUX,35.96,18.53,35.96,22.24,,,0.42,*****,1.66,3,"19,088,789",International
Neuberger Berman International,NBISX,2.35,16.43,2.35,12.08,,,0,****,1.71,1,"124,042,172",International
New England International Equity C,NECIX,5.88,14.82,5.88,-0.04,,,1.67,**,2.5,1,"860,810",International
New England International Equity Y,NEIYX,7.29,15.27,7.29,1.32,3.84,,4.33,***,1.15,1,"5,551,776",International
MainStay Instl EAFE Index Instl,NIEAX,19.15,19.85,19.15,8.39,8.2,,1.69,***,0.94,7,"60,948,000",International
Nations International Equity Prim B,NIEPX,15.97,17.89,15.97,,,,0.67,,1.64,2,12,International
Nations International Equity Prim A,NIEQX,16.46,17.7,16.46,8.56,7.32,,0.79,***,1.14,3,"756,035,758",International
Nations International Equity Inv A,NIIAX,16.4,17.71,16.4,8.34,7.06,,0.74,***,1.39,3,"13,006,795",International
Northern International Select Equity,NINEX,22.29,16.21,22.29,11.14,,,0.04,****,1.25,4,"124,048,411",International
MainStay Instl Intl Equity Instl,NINQX,22.41,19.29,22.41,13.1,,,2.92,****,1,4,"129,027,000",International
Nations International Growth Inv B,NITBX,19.01,20.71,19.01,,,,0,,2.15,1,"726,226",International
Nations International Value Inv A,NIVLX,11.82,20.13,11.82,15.8,,,1.12,****,1.73,2,"6,476,065",International
Northern International Growth Equity,NOIGX,23.94,18.84,23.94,11.44,,,0.97,****,1.25,4,"206,939,611",International
Navellier International Equity,NPIEX,6.64,19.69,6.64,,,,0,,1.75,1,"10,726,309",International
Norwest Advantage International I,NVITX,12.6,12.33,12.6,8.36,,,0.92,***,1.5,4,"267,204,013",International
Oakmark International Small Cap,OAKEX,9.2,28.22,9.2,3.02,,,2.37,***,1.93,3,"65,584,316",International
Oakmark International,OAKIX,-7,14.51,-7,7.15,3.92,,2.09,***,1.32,6,"815,901,575",International
One Group Intl Equity Index Fid,OIEAX,21.57,20.46,21.57,11.06,9.41,,2.14,***,0.88,1,"584,654,148",International
PBHG International,PBHIX,12.74,15.36,12.74,9.54,,,1.46,***,2,3,"14,979,819",International
PaineWebber Pace Intl Equity,PCIEX,14.86,18.18,14.86,11.52,,,1.15,****,,3,"175,318,339",International
Preferred International,PFIFX,10.6,14.83,10.6,11.45,9.47,,1.07,***,1.2,6,"265,962,032",International
PIMCo International Developed Instl,PIAIX,23.92,18.26,23.92,10.15,10.88,,0.39,****,1.11,5,"120,491,218",International
Payden & Rygel International Equity R,PIERX,10.83,14.06,10.83,,,,1.91,,0.9,2,"13,859,669",International
BlackRock Intl Equity Svc,PIESX,15.1,17.46,15.1,9.28,7.44,,1.4,***,1.36,2,"142,712,368",International
Principal Spec Mkts Intl Securities,PISPX,8.8,17.22,8.8,14.24,9.09,,1.47,***,0.9,5,"45,197,225",International
Prudential World Intl Stock Z,PISZX,11.14,14.57,11.14,11.61,9.46,,1.03,****,1.5,6,"259,475,966",International
Parkstone Intl Discovery Instl,PKIDX,12.66,18.24,12.66,10.16,6.1,,0.02,***,1.56,6,"328,148,818",International
BlackRock Intl Equity Instl,PNINX,15.45,17.54,15.45,9.65,7.94,,1.67,***,1.06,2,"960,270,601",International
JP Morgan International Equity,PPIEX,13.48,20.23,13.48,7.57,7.19,,2.78,***,1.12,5,"74,026,091",International
JP Morgan International Opport,PPIOX,3.47,21.81,3.47,,,,2.64,,1.2,1,"55,230,897",International
T. Rowe Price Foreign Equity,PRFEX,16.12,18.21,16.12,11.52,8.91,,1.6,***,0.75,10,"3,600,988,891",International
T. Rowe Price International Stock,PRITX,16.14,18.34,16.14,11.43,8.87,10.45,1.43,****,0.85,18,"9,949,599,017",International
Principal Spec Mkts Intl Smallcap,PSMSX,11.92,14.33,11.92,,,,0.67,,1,1,"74,567,376",International
Pictet International Small Companies,PTSCX,5.35,9.5,5.35,,,,0,,1.2,2,"5,699,414",International
Quantitative International Eqty Instl,QIEAX,11.85,18.83,11.85,5.33,,,0.35,***,1.68,4,"1,831,281",International
